Capability Name,Process,Process Description,Sub Process,Sub-Process Description,Data Entity,Data Entity Description,Data Element,Data Element Description
Performance Attribution,Attribution Modeling and Configuration,"Setup and governance of attribution engines: methods, calculation bases, dimensions, hierarchies, and benchmark mappings.",Factor Risk Monitoring,"Surveillance of factor exposures (e.g., market beta, size, value, momentum, quality, duration, credit beta) and their contribution to portfolio risk; validates intended tilts vs. risk budget.",Special Treatment Catalogue,Instrument-type specific handling rules.,Valuation Basis,"Model price, exchange price, evaluated price."
Performance Attribution,Attribution Modeling and Configuration,"Setup and governance of attribution engines: methods, calculation bases, dimensions, hierarchies, and benchmark mappings.",Factor Risk Monitoring,"Surveillance of factor exposures (e.g., market beta, size, value, momentum, quality, duration, credit beta) and their contribution to portfolio risk; validates intended tilts vs. risk budget.",Special Treatment Catalogue,Instrument-type specific handling rules.,Attribution Handling,Allocation to asset/factor/carry buckets.
Performance Attribution,Attribution Modeling and Configuration,"Setup and governance of attribution engines: methods, calculation bases, dimensions, hierarchies, and benchmark mappings.",Factor Risk Monitoring,"Surveillance of factor exposures (e.g., market beta, size, value, momentum, quality, duration, credit beta) and their contribution to portfolio risk; validates intended tilts vs. risk budget.",Residual Policy,Rules to compute and disclose residuals.,Residual Definition,(Portfolio - Benchmark - explained effects).
Performance Attribution,Attribution Modeling and Configuration,"Setup and governance of attribution engines: methods, calculation bases, dimensions, hierarchies, and benchmark mappings.",Limit Breach Detection,"Automated checks for breaches of regulatory, product, and mandate limits; triggers remediation workflows and governance notifications.",Residual Policy,Rules to compute and disclose residuals.,Interaction Term,Allocation × selection cross effect.
Performance Attribution,Attribution Modeling and Configuration,"Setup and governance of attribution engines: methods, calculation bases, dimensions, hierarchies, and benchmark mappings.",Limit Breach Detection,"Automated checks for breaches of regulatory, product, and mandate limits; triggers remediation workflows and governance notifications.",Residual Control,Magnitude/stability checks.,Residual Threshold,Tolerance band for residual % of total.
Performance Attribution,Attribution Modeling and Configuration,"Setup and governance of attribution engines: methods, calculation bases, dimensions, hierarchies, and benchmark mappings.",Limit Breach Detection,"Automated checks for breaches of regulatory, product, and mandate limits; triggers remediation workflows and governance notifications.",Residual Control,Magnitude/stability checks.,Reconciliation Check,Sum of effects equals excess return.
Performance Attribution,Attribution Modeling and Configuration,"Setup and governance of attribution engines: methods, calculation bases, dimensions, hierarchies, and benchmark mappings.",Limit Breach Detection,"Automated checks for breaches of regulatory, product, and mandate limits; triggers remediation workflows and governance notifications.",Assumption Set,Documented assumptions and ranges.,Assumption Type,"CMA, covariance, FX source, taxonomy drift."
Performance Attribution,Attribution Modeling and Configuration,"Setup and governance of attribution engines: methods, calculation bases, dimensions, hierarchies, and benchmark mappings.",Drawdown Monitoring,Tracking of peak-to-trough declines over rolling windows to manage downside risk and trigger protective actions per policy.,Assumption Set,Documented assumptions and ranges.,Validation Window,"Lookback period for testing (e.g., 36M)."
Performance Attribution,Attribution Modeling and Configuration,"Setup and governance of attribution engines: methods, calculation bases, dimensions, hierarchies, and benchmark mappings.",Drawdown Monitoring,Tracking of peak-to-trough declines over rolling windows to manage downside risk and trigger protective actions per policy.,Validation Result,Outcomes and remediation actions.,Test Statistic,"Fit/coverage, TE impact, correlation drift."
Performance Attribution,Attribution Modeling and Configuration,"Setup and governance of attribution engines: methods, calculation bases, dimensions, hierarchies, and benchmark mappings.",Drawdown Monitoring,Tracking of peak-to-trough declines over rolling windows to manage downside risk and trigger protective actions per policy.,Validation Result,Outcomes and remediation actions.,Remediation Action,"Update method, re-map, re-compute, disclose."
Performance Attribution,Decomposition and Calculation,"Framework that standardizes return computation and decomposition of excess return into governed attribution effects across dimensions and periods; enforces calculation bases, linking, and pricing cut-offs for consistency and auditability.",Volatility Monitoring,"Measurement of realized and ex-ante volatility against targets and budgets; supports risk parity, TE management, and dynamic sizing.",Portfolio Return Block,Period return outputs and components.,Period Return,Daily/MTD/QTD/YTD/1Y/3Y/5Y/SI time-weighted return.
